fid,name,mv16,district,address,contact_name,contact_designation,membership,thana
553,Unicorn Sweaters Ltd.,Ashulia Police Station,Dhaka,,Md. Faruq Hossen,,Member,Ashulia
554,Aswad Composite Mills Ltd.,Ashulia Police Station,Dhaka,,Shaikh Ashkat(Liton),,Member,Ashulia
555,PERFOACE KNITWEAR LTD.,DakshinKhan Police Station,Dhaka,,Md. Ferdous Hasan,,Member,DakshinKhan
556,Tex Tailor Export (BD)Ltd.,DakshinKhan Police Station,Dhaka,,Md Moazzem hossain,,Member,DakshinKhan
557,Cold Asia Sweater Ltd.,Ashulia Police Station,Dhaka,,Md. Zahidul Islam,,Member,Ashulia
558,CAPELLA KNIT LTD.,Ashulia Police Station,Dhaka,,Jamal Uddin,,Member,Ashulia
559,BANGLA JAPAN TRADING LTD.,Ashulia Police Station,Dhaka,,Md. Alamin,,Member,Ashulia
560,Top Jeans Ltd,Uttar Khan Police Station,Dhaka,,Taroun Kumar Biswas,,Member,Uttar Khan
561,Tex Town Ltd.,Ashulia Police Station,Dhaka,,Md. Mahbub Sorowar,,Member,Ashulia
562,Ornate Knit Garment Industries Ltd,Ashulia Police Station,Dhaka,,Md. Mahbub Sorowar,,Member,Ashulia
563,Epcot International Ltd,Uttar Khan Police Station,Dhaka,,MD Nasimul Hasan,,Member,Uttar Khan
564,MATRIX DRESSES LTD.,Rupnagar Police Station,Dhaka,"PLOT-6 (4TH FLOOR), ROAD-27/KA, RUPNAGAR, MIRPUR, DHAKA-1216",MAHABUBUL HASAN FOYSAL,MANAGING DIRECTOR,Member,Rupnagar
565,The Civil Engineer's Ltd. (Woven Unit),Savar Model Police Station,Dhaka,,M. Tofazzal Ali,,Member,Savar Model
566,The Civil Engineers Ltd. (Unit-2),Savar Model Police Station,Dhaka,,M. Tofazzal Ali,,Member,Savar Model
567,Shams Styling Wears Ltd,Savar Model Police Station,Dhaka,,M. Tofazzal Ali,,Member,Savar Model
568,M.M. FASHION,DakshinKhan Police Station,Dhaka,,MD. Mehedi  Hasan,,Member,DakshinKhan
569,Three Star Fashions Wear Ltd.,DakshinKhan Police Station,Dhaka,,Sardar Elias Hossain,,Member,DakshinKhan
570,MOHAMMADI FASHION SWEATERS LTD,Khilkhet Police Station,Dhaka,,Jashim Uddin,,Member,Khilkhet
571,Hypoid Lingeries Ltd,Mirpur Model Police Station,Dhaka,,Md. Golam Mostofa,,Member,Mirpur Model
572,RAINA FASHION,Mirpur Model Police Station,Dhaka,,Md. Khalilur Rahman,,Member,Mirpur Model
573,Univesal Apparels Ltd.,Vatara Police Station,Dhaka,,Md. Ahsam Hayder,,Member,Vatara
574,RAIHAN APPARELS LIMITED,Uttara Model Police Station,Dhaka,,Md. Asaduzzaman,,Member,Uttara Model
575,Opex Fashions Ltd.,Kafrul Police Station,Dhaka,,ABM SALAUDDIN,,Member,Kafrul
576,Opex Garments Ltd.,Kafrul Police Station,Dhaka,,A B M SALAUDDIN,,Member,Kafrul
577,Opex Style Wears Ltd,Kafrul Police Station,Dhaka,,A B M SALAUDDIN,,Member,Kafrul
578,Sinha Style Wears Ltd,Kafrul Police Station,Dhaka,,A B M SALAUDDIN,,Member,Kafrul
579,Unicorn Sweaters Ltd,Ashulia Police Station,Dhaka,,Md. Mobinul Hasan,,Member,Ashulia
580,Artisti Textile Industries Ltd,Kafrul Police Station,Dhaka,,MD. Ehsan Islam,,Member,Kafrul
581,Ananta Apparels Ltd,New Market Police Station,Dhaka,,Md. Mainuddin,,Member,New Market
582,Ananta Fashion Ltd.,New Market Police Station,Dhaka,,Md. Mainuddin,,Member,New Market
583,S. Suhi Industrial Park Ltd,Ashulia Police Station,Dhaka,,Md. Shah Jahan,,Member,Ashulia
584,Silver Fabrics Ltd,Ashulia Police Station,Dhaka,,Md. Masud Rana,,Member,Ashulia
585,A.S.S Knitwear Ltd,Ashulia Police Station,Dhaka,,Anjon kundo,,Member,Ashulia
586,Heca Production Ltd,Ashulia Police Station,Dhaka,,Tareq Mahmod Shahin,,Member,Ashulia
588,Softex Sweater Industries(PVT.) Ltd.,Ashulia Police Station,Dhaka,,Syed Md. Hafizur Rahman,,Member,Ashulia
589,THE ROSE GARMENTS DESIGNER LTD,DakshinKhan Police Station,Dhaka,,Md. B.K.M. Mahfuz Uz Zaman,,Member,DakshinKhan
590,Blueaglez Bangladesh Ltd.,DakshinKhan Police Station,Dhaka,,Humayon Rashid Talukder,,Member,DakshinKhan
591,GRAPHICS TEXTILES LIMITED,Dhamrai Police Station,Dhaka,,PURNENDU BIKASH MITRA,,Member,Dhamrai
592,BANDO ECO APPARELS LTD,Savar Model Police Station,Dhaka,,Eftekhar Bashir,,Member,Savar Model
593,Aman Graphics & Designs Ltd,Savar Model Police Station,Dhaka,,Major H. M. Farhad (Retd),,Member,Savar Model
594,APS Design Works Ltd,DakshinKhan Police Station,Dhaka,,M. J. Rashed,,Member,DakshinKhan
595,Cathay Apparels Ltd,Ashulia Police Station,Dhaka,,Md. Zahidul Islam,,Member,Ashulia
596,Continental Garments Ind.( Pvt ) Ltd,Ashulia Police Station,Dhaka,,Shiper Samajpati,,Member,Ashulia
597,Spicy Knit Concern Ltd.,Ashulia Police Station,Dhaka,,Md. Kabir Hossain,,Member,Ashulia
598,MBM Garments Ltd.,Kafrul Police Station,Dhaka,,Khaled Al-Mamun,,Member,Kafrul
599,MBM Fashion Wear Ltd.,Kafrul Police Station,Dhaka,,Khaled Al-Mamun,,Member,Kafrul
600,Poshak Knit Wears Ltd.,Ashulia Police Station,Dhaka,,Md. Ratan,,Member,Ashulia
601,Green Life Clothing Ltd.,Ashulia Police Station,Dhaka,,Md. Monzurul Hoque (Rubel),,Member,Ashulia
602,Design Gallery (Pvt.) Ltd.,Uttar Khan Police Station,Dhaka,,Md. Jahangir Miah,,Member,Uttar Khan
603,Root Apparels Ltd.,Uttar Khan Police Station,Dhaka,,Mohammad Asraful Hossain,,Member,Uttar Khan
604,Royal BD Fashion,Uttara Model Police Station,Dhaka,,MD Ahtasur Rahman Santo,,Member,Uttara Model
