fid,name,mv16,district,address,contact_name,contact_designation,membership,thana
10001,Uranus Apparels Ltd.,Sadarghat Police Station,Chattogram,"Municipal Super Market (4th & 5th floor), Plot 520/523, New Market, Station Road, Chattogram City Corporation, Chattogram-4000",Samir Kanti Dey,Managing Director,Member,Sadarghat
10002,Sundry Apparels Ltd.,Hathazari Police Station,Chattogram,"Chattogram-Hathazari Road, 11 Mile, Jobra, Fatehpur, Hathazari, Chattogram-4330",Syad Mohammad Rouf-Ur-Jashed,Director,Member,Hathazari
10005,Focus Apparels BD Ltd.,Halishahar Police Station,Chattogram,"(Floor 1), Didar Mansion, Port Link Road, Molla Para, North Halishahar, Chattogram-4226",Rezaul Karim Badal,Managing Director,Member,Halishahar
10011,Intercare Ltd.,Doublemooring Police Station,Chattogram,"Plot# 687, South Agrabad, CDA R/A, Road No: 20, Chattogram- 4100, Bangladesh",MR. Zakai Hossain,Deputy General Manager,Member,Doublemooring
10013,Kay Garments Ltd.,Kotwali Police Station,Chattogram,"321, Didar Market (3rd Floor), Nabab Sirajuddaula Road, Dewanbazar, Kotwali, Chattogram-4000",Bijoy Sekhar Das,Managing Director,Member,Kotwali
10014,Comfort Wear Garments Ltd.,Doublemooring Police Station,Chattogram,"74, Jahan Building (Building No.5, 5th Floor) Agrabad C/A, Double Mooring, Chattogram-4100",Md. Jashim Uddin,Director,Member,Doublemooring
10015,Apace Ltd.,Chawk Bazar Police Station,Chattogram,"436/457, Dev Pahar, Chatteswari Road, Gazi Shah Lane, Chattogram - 4203.",Md. Gias Uddin,Chairman,Member,Chawk Bazar
10021,Top Star Fashions Ltd.,Doublemooring Police Station,Chattogram,"N-224, Nazma Ahmad Complex (2nd floor), D.T. Road (Nazma Khatun by Lane), Dewan Dighirpar, Dewanhat, Double Mooring, Chattogram-4100",Md. Absar Hossain,Managing Director,Member,Doublemooring
10022,F & F Fabric Printing,Hathazari Police Station,Chattogram,"Bathua-Miar Baper Colony, Neyamot Ali Road, Shikarpur, Hathazari, Chattogram-4337.",Kanchan Das,Factory Manager,Member,Hathazari
10024,Brandnation Ltd.,Pahartali Police Station,Chattogram,"Plot No- 11, Sunrise Shopping Complex, 11-CDA Market, Pahartali, Chattogram-4202.",Md.Younus Miah,Commercial Manager,Member,Pahartali
10025,Dips Apparel Ltd.,Bakolia Police Station,Chattogram,"152/153, Karnafoly Arcade,Floor #2,New Chaktai, Bakolia,Chattogram - 4000",Md. Zasim Uddin Chowdhury,Managing Director,Member,Bakolia
10026,Jadid Apparels,Sadarghat Police Station,Chattogram,"117, Nabi Dobash Tower, (1st Floor), Strand Road, Bangla Bazar, Sadarghat, Chattogram-4100",Md.Sarower Hossen,Manager (H.R & Admin),Member,Sadarghat
10027,Dress Well Ltd.,Sadarghat Police Station,Chattogram,"18-19/A, New Strand Road, Majhirghat, Chattogram, Bangladesh.",Md.Rezaul Karim Reza,Factory Manager,Member,Sadarghat
10028,Madina Establishments Ltd.,Doublemooring Police Station,Chattogram,"Plot# 687, Road# 20, CDA Residential Area, South Agrabad, Chattogram-4100",Md. Hazi Hossain Ahmed,Chairman,Member,Doublemooring
10029,Jans Febrics Ltd.,Sadarghat Police Station,Chattogram,"154, Kazi Nazrul Islam Road, Raj Hotel Market (2nd Floor), Sadarghat, Chattogram-4000.",Tapas Kumar Datta,General Manager,Member,Sadarghat
10032,Sanguine Apparels Ltd.,Bakolia Police Station,Chattogram,"1676/A, Floor #3, Shah Amanat Bridge Connecting Road, Rajakhali, Bakolia, Chattogram - 4000",Mohammad Shahjahan,Manager (Merchandiser),Member,Bakolia
10035,Ritzy Apparels Ltd.,Doublemooring Police Station,Chattogram,"175/A/186, Sheikh Mujib Road, Agrabad C/A, Chattogram-4100, Bangladesh.",Rashed Yousuf,Deputy General Manager,Member,Doublemooring
10042,Infinia Knitting & Dyeing Mills Ltd.,Sitakunda Police Station,Chattogram,"Kadamrosul-Keshabpur, Sunman Textile Road, Sonaichhari, Sitakunda, Chattogram-4314",Sayed Sahadat Parvez,General Manager,Member,Sitakunda
10045,Knitexpo Ltd.,Bandar Police Station,Chattogram,"Plot# 6594/95 (Ground Floor), M.A Aziz Road (Near CEPZ), South Middle  Halishahar, Bandar, Chattogram-4100",Md. Shafiul Alam Rana,Director,Member,Bandar
10047,Kohinoor Apparels Ltd.,Chawk Bazar Police Station,Chattogram,"436/457, Gazi Shah Lane, Dev Pahar, Chattogram- 4203.",Md. Reaz Weaz,Director,Member,Chawk Bazar
10049,Shelley Inter Trade Ltd.,Doublemooring Police Station,Rangamati,"522, Parjatan Road, Tabalchari, Rangamati Sadar, Rangamati-4500",Md. Ala Uddin,General Manager,Member,Doublemooring
10050,Ettade Jeans Ltd.,Panchlaish Police Station,Chattogram,"1670/2091, Aturar Deport, Soloshar, Chattogram - 4211",Anupam Chowdhury,Executive Director,Member,Panchlaish
10056,S & S Swimwear Ltd.,Doublemooring Police Station,Chattogram,"Plot # 1293, Raja Super Market (3rd floor), D.T. Road, Dhanialapara, Double Mooring, Chattogram-4100",Rafiqul Islam (Sattar),Chairman,Member,Doublemooring
10058,Fit Well Sweater (Pvt.) Ltd.,EPZ Police Station,Chattogram,"1681/L, M.J Plaza (4th floor), 2 No. Mailer Matha, South Halishahar, Bandar, Chattogram.",Md. Joynal Abedin,Managing Director,Member,EPZ
10061,Annex Fashion Ltd.,Doublemooring Police Station,Chattogram,"Plot # 215/216, P.M. Centre (4th floor), D.T. Road, Dewan Dighirpar, Dewanhat, Double Mooring, Chattogram-4100",Md. Showkat Hossain,Managing Director,Member,Doublemooring
10062,M. I. Knitwear Ltd.,Doublemooring Police Station,Chattogram,"Plot # 215/216, P.M. Centre (1st floor), D.T. Road (Nazma Khatun by Lane), Dewan Dighirpar, Dewanhat, Double Mooring, Chattogram-4100",Md. Hedayet Ullah,General Manager,Member,Doublemooring
10063,Season Creations Ltd.,Pahartali Police Station,Chattogram,"612/559, Nazir Saleh Complex, Abdul Ali Hat, Pahartali, Chattogram-4202.",Syed Md. Maruf Hossain,Managing Director,Member,Pahartali
10064,Moontaha Faahion Ltd.,Doublemooring Police Station,Chattogram,"Plot # 1248 (1st floor), D.T. Road, Dhanialapara, Baitush Sharaf, Double Mooring, Chattogram-4100",Md. Abdul Barek,Managing Director,Member,Doublemooring
10068,Stitch Tone Apparels Ltd.,Sadarghat Police Station,Chattogram,"18/19, Strand Road, Champa Tower, Majhirghat, Chattogram, Bangladesh.",Mir Altaf Hossain,"Manager (Admin, HR & Compliance)",Member,Sadarghat
10072,Reliance Denim Industries Ltd.,Pahartali Police Station,Chattogram,"A/1, Block-A, Sagarika Road, BSCIC, Pahartali, Chattogram-4219.",Mamun Salam,Managing Director,Member,Pahartali
10073,Lumbini Ltd.,Doublemooring Police Station,Bandarban,"Zilla Parishad Complex, Meghla, Bandarban Municipality, Bandarban-4600",Brig. Gen. Shah Md. Sultan Uddin Iqbal,Managing Director,Member,Doublemooring
10074,Badgetex Apparels Ltd.,Chandgaon Police Station,Chattogram,"Plot P/6-A, Mohara Nexus I/A, Chandgaon, Chattogram-4221",Shahed Iqbal Chowdhury,Senior Manager (Compliance),Member,Chandgaon
10078,Texolline Apparels Ltd.,Pahartali Police Station,Chattogram,"B/26, 2nd Floor, Block-A, Sagarika Road, BSCIC Industrial Area, Pahartali, Chattogram-4219.",Abdul Alim Arif,Managing Director,Member,Pahartali
10080,Eden Fashions Ltd.,Doublemooring Police Station,Chattogram,"1142, Askarabad, Mistripara, Sk. Mujib Road, Chattogram, Bangladesh.",Chinmoy Paul,Commercial Manager,Member,Doublemooring
10084,Combined Apparels Ltd.,Panchlaish Police Station,Chattogram,"1670/2091, Aturar Deport, West Soloshar, Chattogram - 4211",Rakibul Alom Chowdhury,Managing Director,Member,Panchlaish
10086,Alfa Knit Fashion Ltd.,Sadarghat Police Station,Chattogram,"116, Nabi Dobash Tower, (3rd Floor), Strand Road, Bangla Bazar, Sadarghat, Chattogram-4100",Uttam Chowdhury,Deputy Manager (H.R & Compliance),Member,Sadarghat
10087,Bakrsons Apparels Ltd.,Chawk Bazar Police Station,Chattogram,"136, 2nd Floor, Lal Chand Road, Chawk Bazar, Chattogram- 4203.",Md. Reaz Weaz,Director,Member,Chawk Bazar
10088,Shet Land Febrics Ltd.,Pahartali Police Station,Chattogram,"656, Nasaria Madrasa Road, Pahartali, Chattogram-4202.",Md. Shaifullah,Managing Director,Member,Pahartali
10089,Top Moon Fashion Ltd.,Doublemooring Police Station,Chattogram,"227/268, Nabi Tower, D.T. Road (Nazma Khatun by Lane), Dewan Dighirpar, Dewanhat, Double Mooring, Chattogram-4100",Md. Absar Hossain,Managing Director,Member,Doublemooring
10090,T.K.K Fashion Wear Ltd.,Bayazid Bostami Police Station,Chattogram,"1717/A, West Soloshar, Rowfabad,Chattogram - 4210",Mohammad Nasir,General Manager,Member,Bayazid Bostami
10092,Selection Fashion Wear Ltd.,Chandgaon Police Station,Chattogram,"1160, Floor#3, S.K Market, Shah Amanat Setu Road, Bahaddarhat, Chandgaon, Chattogram - 4212",Md. Jashim Uddin,Managing Director,Member,Chandgaon
10093,Maggie & Liz Corporation (Pvt.) Ltd.,Kotwali Police Station,Chattogram,"846, 3rd Floor, Noor Ahmed Road, Kotwali, Chattogram-4000.",Md. Rofiqul Islam,Managing Director,Member,Kotwali
10095,Progressive Knitwear Ltd.,EPZ Police Station,Chattogram,"2275, Portland Shopping Complex (2nd floor), M. A Aziz Road, Bandartila, EPZ, Chattogram-4218",Engr. Riyasat Hassan,Managing Director,Member,EPZ
10097,Link Wear Ltd.,Doublemooring Police Station,Chattogram,"Plot# 687, Road# 20, CDA Residential Area, South Agrabad, Chattogram-4100",Md. Alauddin,Director,Member,Doublemooring
10099,R. H. Attire Ltd.,Panchlaish Police Station,Chattogram,"House# 96,Floor# 4, Shaha Noor Centre, Muradpur, West Soloshar, Chattogram - 4211",Md. Shafiul Azam ( Rana),Managing Director,Member,Panchlaish
10100,Salim & Brothers Ltd. (Unit-2),Pahartali Police Station,Chattogram,"Plot  C/8-10, 3rd Floor, Block-A, Sagarika Road, Pahartali, Chattogram-4219.",Mamun Salam,Managing Director,Member,Pahartali
10102,Salim & Brothers Ltd.,Pahartali Police Station,Chattogram,"Plot C/8-10, 3rd Floor, Sagarika Road,  Block-A, BSCIC Industrial Area, Pahartali, Chattogram-4219.",Mamun Salam,Managing Director,Member,Pahartali
10103,Nazia Apparels,Sadarghat Police Station,Chattogram,"116, Nabi Dobash Tower, (3rd Floor), Strand Road, Bangla Bazar, Sadarghat, Chattogram-4100",Uttam Chowdhury,Deputy Manager (H.R & Compliance),Member,Sadarghat
10106,Independent Apparels Ltd.,Bayazid Bostami Police Station,Chattogram,"21/ 27, Nasirabad I/A, Bayazid Bostami Road, P. O Polytechnic Institute, Chattogram-4210.",S. M Abu Tayyab,Managing Director.,Member,Bayazid Bostami
10110,Four H Lingerie Ltd.,Hathazari Police Station,Chattogram,"BRTC Bus Depot, Natun para, Hathazari Road, Chikandanti, Hathazari, Chattogram-4335.",Md.Rashed uz Zaman,Asst.General Manager,Member,Hathazari
10111,Children Place Ltd.,Chawk Bazar Police Station,Chattogram,"136, 4th Floor, Lal Chand Road, Chawak Bazar, Chattogram-4203.",Lutfuzzaman Shameem,Chairman,Member,Chawk Bazar
10113,Eastern Dresses Ltd.,Doublemooring Police Station,Chattogram,"Plot # 221, Auto Complex (2nd floor), D.T. Road (Nazma Khatun by Lane), Dewan Dighirpar, Dewanhat,  Double Mooring, Chattogram-4100",Md. Saiful Islam,General Manager,Member,Doublemooring
10114,Yakub Garments Ltd.,Halishahar Police Station,Chattogram,"Plot # 25, Halishahar Road, Natun Bazar, Rampur, Halishahar, Chattogram-4224",Mr. Rajib Das,Executive (HR),Member,Halishahar
10115,Mostafa Garments Industries Ltd.,Doublemooring Police Station,Chattogram,"40, Sabdar Ali Road, Agrabad Commercial Area, Chattogram, Bangladesh-4100",Shaibal Biswas,Executive (H.R & Compliance),Member,Doublemooring
10116,Santex Knitwears Ltd.,Pahartali Police Station,Chattogram,"6/A, A.K. Tower, CDA Market, Pahartali, Chattogram- 4207.",AKM Alamgir,Managing director,Member,Pahartali
10120,Afrah Fashion Ltd.,Pahartali Police Station,Chattogram,"Plot -16, Block-A, BSCIC Industrial Area, Sagarika Road, Pahartali, Chattogram-4219.",Syed Md. Maruf Hossain,Managing Director,Member,Pahartali
10121,H.I. Apparels Ltd.,Halishahar Police Station,Chattogram,"Ali Shah Road, Abbas Para, Loharpool, North Halishahar, Chattogram, Bangladesh-4226",Md.Jahangir Alam,"Manager, Admin, HR & Compliance",Member,Halishahar
10122,Rhythm Fashion Ltd.,Doublemooring Police Station,Chattogram,"Plot# 687 CDA, R/A, Road No: 20, Boublemooring, Agrabad, Chattogram-4100",Golam Kabir,Managing Director,Member,Doublemooring
10124,H.B. Knitex Ltd.,Pahartali Police Station,Chattogram,"Plot # B, 26 & 27, Block-A, BSCIC Industrial Area, Sagarika Road,  Pahartali, Chattogram-4219.",Md. Kamrul Huda,Managing Director,Member,Pahartali
10126,H.B. Intimates Ltd.,Pahartali Police Station,Chattogram,"Forkan Tower, 360/A, Bitac Bazar, Custom Academy, South Cattali, Pahartali, Chattogram-4216.",Md. Ziaul Huda,Director,Member,Pahartali
10127,Montex Apparels Ltd.,Pahartali Police Station,Chattogram,"440/504, Torab Arcade, (3rd & 4th Floor) D.T Road, Pahartali, Chattogram-4202.",Niloy Bikas Das,Managing Director,Member,Pahartali
10133,Purna Fashion Ltd.,Panchlaish Police Station,Chattogram,"House No #96,Floor No # 2, Shaha Noor Centre, Muradpur, WestSoloshar, Chattogram - 4211",Mohammad Abdus Sabur,General Manager,Member,Panchlaish
10135,Mam Apparel & Textiles Ltd.,Pahartali Police Station,Chattogram,"Plot-3233/B, Mam Tower (2nd Floor) Saraipara-Loharpool, Pran Haridash Road, Pahartali, Chattogram-4219.",Junaied Khan Sarwar,Director,Member,Pahartali
10137,H K C Apparels Ltd.,Panchlaish Police Station,Chattogram,"Floor # 2,House No# 1670/2091, Aturar Deport, West Soloshar, Chattogram -  4211",Md. Rakibul Alam Chowdhury,Managing Director,Member,Panchlaish
10140,Vertex Innovative Apparels Ltd.,Pahartali Police Station,Chattogram,"360/A, Forkan Tower(3rd Floor), Bitac Bazar, Sagarika Road,  Pahartali, Chattogram-4219.",Md. Jamal Uddin,Managing Director,Member,Pahartali
10142,P & G Textile Ltd.,Panchlaish Police Station,Chattogram,"Floor # 5,House # 1670/2091,Aturar Deport, West Soloshar, Chattogram -4211",Sadekur Rahman,Managing Director,Member,Panchlaish
10144,Vintage Textile Ltd.,Pahartali Police Station,Chattogram,"B/14, Block-A, Sagarika  Road, BSCIC Industrial Area, Pahartali Chattogram-4219.",Wahidul Islam Chowdhury,Managing Director,Member,Pahartali
10147,Savannah Fashion Ltd.,Chandgaon Police Station,Chattogram,"1170/B, Shaha Amanat Setu Road, East Soloshar Ak Kilometre, Chandgaon, Chattogram - 4212",Istiaque Mahmood,Director,Member,Chandgaon
10148,Maxim Fashions Ltd.,Bandar Police Station,Chattogram,"2098/A, M. A Aziz Road (Near CEPZ), South Middle Halishahar, Bandar, Chattogram-4100",Ahsanul Mahmud Ferdous,Managing Director,Member,Bandar
10153,Running Fashion Wear Ltd.,Doublemooring Police Station,Chattogram,"Plot# 606, Anjuman Mansion (1st Floor), CDA Residential Area, South Agrabad, Chattogram-4100",Md. Monirul Islam,Director,Member,Doublemooring
10157,Sufi Apparels Ltd.,Pahartali Police Station,Chattogram,"Holding-75, Plot-2, D.T Road, C.D.A Market, Pahartali, Chattogram- 4202.",SM Shaif,Director,Member,Pahartali
10158,Syeed Trading,Kotwali Police Station,Chattogram,"564, 3rd Floor, Battali Road, Enayet Bazar, Chattogram-4000.",Mehraj Tahsin Shafi,Proprietor,Member,Kotwali
10161,Meadow Apparel Ltd.,Halishahar Police Station,Chattogram,"Polt # 03, (Holding #3713/A), Road # 04, Block-B, Industrial Plot # 02, Halishahar Industrial Area, Halishahar, Chattogram-4226, Bangladesh.",Rafiqul Anam Chowdhury,Managing Director,Member,Halishahar
10164,J.R. Enterprise Ltd.,Bandar Police Station,Chattogram,"Yakub Plaza, 3rd Floor, 1 No. Port Connecting Road, Nimtola, Bandar, Chattogram",Jahidul Alam,General Manager,Member,Bandar
10165,T.K.M Garments Ltd.,Bayazid Bostami Police Station,Chattogram,"1719/A, West Soloushar, Rowfabad, Chattogram - 4210",Mohammad Nasir,General Manager,Member,Bayazid Bostami
10167,Alfa Textile Ltd.,Chandgaon Police Station,Chattogram,"49 North Portion (NP), Kalurghat Heavy I/A, Mohora, Chandgaon, Chattogram-4208",Ms. Tajrina Mannan,President,Member,Chandgaon
10169,SJ Knitting & Apparel Ltd.,Patiya Police Station,Chattogram,"Pachuria Munshir Hat, Habilas Dwip, Patiya, Chattogram-4370",Sitwat Karim (Babu),Managing Director,Member,Patiya
10170,M.N. Clothing Ltd.(Unit-1),Pahartali Police Station,Chattogram,"516/590, 5th Floor, Colonel Jones Road, North Kattali, Pahartali, Chattogram-4217.",Md. Mohiuddin Ahmed,Managing Director,Member,Pahartali
10172,DAF Knitwears Ltd.,Bayazid Bostami Police Station,Chattogram,"135/142, Nasirabad I/A",Mr. Syed Ali,Manager (Compliance),Member,Bayazid Bostami
10174,Rashad Industries (Pvt.) Ltd.,Bakolia Police Station,Chattogram,"2606/E/3714, Shah Amanat Connecting Road, Kalameah Bazar, East Bakolia, Chattogram-4000",Md. Abdul Baset,Managing Director,Member,Bakolia
10175,Adila Apparels,Bayazid Bostami Police Station,Chattogram,"212, Eshak Shopping Complex,1st Floor, Bayazid Bostami Road ,Kancha Bazar Lane, Bayazid Bostami, Chattogram-4210.",Md. Abu Sayem,General Manager,Member,Bayazid Bostami
10176,N.R.C Knit Fashions Ltd.,Bakolia Police Station,Chattogram,"256, NR Complex, 2nd Floor, Naya Mosjid, Chaktai, Bakolia, Chattogram-4000",Arshad-Ur-Rahman,Managing Director,Member,Bakolia
10177,Yunusco T & A (BD) Ltd. (Unit-2),Chandgaon Police Station,Chattogram,"35/A-B, (5-9) Floor, Kalurghat Heavy I/A, Chattogram-4208",Md. Milad Uddin,Chief Executive Officer,Member,Chandgaon
10178,Charm Fashion,Bayazid Bostami Police Station,Chattogram,"2690/A, Hathazari Road, Bayazid Bostami, Chattogram- 4335.",Yar MD Jewel,Factory Manager,Member,Bayazid Bostami
10179,Alamode Apparels Ltd.,Chandgaon Police Station,Chattogram,"Plot#12,13 (Floor-1,2,3), Well Group Road, BSCIC Industrial Estate, Kalurghat, Chandgaon, Chattogram-4212",Shahed Iqbal Chowdhury,Senior Manager Compliance,Member,Chandgaon
10180,Parba Fashion Ltd.,Patiya Police Station,Chattogram,"5098/99, Shantirhat Road, Kusumpura, Patiya, Chattogram-4370",Dilip Kanti Dutta,Director,Member,Patiya
10181,Shirt Makers Ltd.,Chandgaon Police Station,Chattogram,"Kaptai Rastar Matha, Kalurghat, I/Area, Chandgaon, Chattogram-4221, Bangladesh",Md.Ashraf Ali,Deputy Manager (HR & Compliance),Member,Chandgaon
10182,Well Mart Ltd.,Chandgaon Police Station,Chattogram,"A-23, 24, 25, 26, BSCIC Industrial Estate, Kalurghat, Chattogram, 4208",Syed Nazrul Islam,Managing Director,Member,Chandgaon
10183,Harrdos Garments Ltd,Karnophuli Police Station,Chattogram,"Sandha Bazar Road, Khowaz Nagar, Azim Para, Karnophuli, Chattogram-4031.",Asif Ali Noor,Senior General Manager ( Merchandising ),Member,Karnophuli
10184,Well Fashion Ltd. (Unit-2),Chandgaon Police Station,Chattogram,"A-23, 24, 25, 26, BSCIC Industrial Estate, Kalurghat, Chattogram-4208",Syed Nazrul Islam,Managing Director,Member,Chandgaon
10188,Well Fashion Ltd.,Chandgaon Police Station,Chattogram,"Plot-A/47,48, BSCIC Industrial Estate, Kalurghat, Chandgaon, Chattogram-4212",Syed Nazrul Islam,Managing Director,Member,Chandgaon
10190,Azmain Fashion Ltd.,Doublemooring Police Station,Chattogram,"791, 5th Floor, Askarabad, Dhaka Trunk Road (D.T. Road), Chattogram-4100",Sofiul Alam,Managing Director,Member,Doublemooring
10191,Samotaf Apparels Ltd.,Chandgaon Police Station,Chattogram,"Plot # B-87, 88, BSCIC Industrial Estate, BSCIC  Road, Kalurghat, Chandgaon, Chattogram- 4212",Md. Abu Taleb,Director,Member,Chandgaon
10193,Figo Fashions Ltd.,Boalkhali Police Station,Chattogram,"Plot# 336, Baruartek, Military Bridge, Shakpura, Boalkhali, Chattogram -4367",Shankar Chowdhury,Manager (Accounts & Finance),Member,Boalkhali
10195,Nine 2 Nine Intimates Ltd.,Chandgaon Police Station,Chattogram,"35/A-B, (2-3) Floor, Kalurghat Heavy I/A, Chattogram-4208",Md. Milad Uddin,Chief Executive Officer,Member,Chandgaon
10196,Four H Apparels Ltd.,Bayazid Bostami Police Station,Chattogram,"295, Kulgaon, Baluchara, Hathazari Road, Bayazid Bostami, Chattogram-4214.",A.K. Rashad Ahmed,Manager (Admin),Member,Bayazid Bostami
10197,Shams Knitting & Sweater Ind's Ltd.,EPZ Police Station,Chattogram,"Plot # 1677, Shams Mansion, Barrister Sultan Ahmed Chowdhury University College Gate, Airport Road, Bandar, Chattogram.",Mohammad Idrees,General Manager,Member,EPZ
10198,Acme Apparels (Pvt.) Ltd.,Bandar Police Station,Chattogram,"1461/A, CEPZ By Lane, Omor Shah Para South Middle Halishahar, Bandar, Chattogram -4100.",Ahsanur Rahman Chowdhury,Chairman & Managing Director,Member,Bandar
10199,Uponti Apparels Ltd.,Bayazid Bostami Police Station,Chattogram,"2112, Boktiar Mansion, Haji Para, Wazedia, Bayazid Bostami, Chattogram -4213",Uzzal Kumar Dewanjee,Managing Director,Member,Bayazid Bostami
10200,Quality Fashion Wear Ltd.,Bayazid Bostami Police Station,Chattogram,"A/2(Part), 2nd Floor, Block-A, Bayazid Bostami, Chattogram-4210.",Jahangir Alam Kokhon,Director,Member,Bayazid Bostami
10201,Modiste (Bangladesh) Ltd.,Pahartali Police Station,Chattogram,"51/ A,B,C, BSCIC, Abdus Salam Road, Sagarika, Pahartali, Chattogram-4219",Saief Md. Mainul Hasan,Deputy General Manager ( HR & Compliance),Member,Pahartali
10202,Innova Garments Ltd.,Karnophuli Police Station,Chattogram,"College Bazar, Shikalbaha, Karnophuli, Chattogram-4371.",Wahidul Islam,Managing Director,Member,Karnophuli
10203,Sirina Garments &Textiles Ltd.,Bayazid Bostami Police Station,Chattogram,"171-181, Bayazid Bostami Road, Nasirabad I/A, Bayazid Bostami, Chattogram-4210.",Ms. Tajrina Mannan,President,Member,Bayazid Bostami
10205,Wazhico Apparels Ltd.,Kotwali Police Station,Chattogram,"Alif Biponi Centre, 3rd Floor, 31, Nazir Ahmed Road, Anderkilla, Kotwali, Chattogram-4000.",Md. Abdur Razzak,Managing Director,Member,Kotwali
10207,Eastern Knit Wear Ltd.,Chandgaon Police Station,Chattogram,"61/B-2, F.I Tower, Kalurghat I/A, Chandgaon, Chattogram-4212",Fahim Razzaq Raju,"Head ( HR, Compliance , Safety & Security )",Member,Chandgaon
10209,Dress king Ltd.,Bayazid Bostami Police Station,Chattogram,"2112, Baktiar Complex, 1-3 Floor, South Hajipara, Bayazid Bostami, Chattogram-4213",Abdul Sukkur,Managing Director,Member,Bayazid Bostami
10210,Kattali Textile Ltd.,Akbar Shah Police Station,Chattogram,"1621-1625, Chowdhury Bari, Colonel Jones Road, Akbar Shah, Chattogram-4217.",Mohammed Anowarul Haque Chowdhury,Director,Member,Akbar Shah
10212,Fashion Export Int. Ltd.,Doublemooring Police Station,Chattogram,"791/755 (2nd Floor), Dhaka Trunk Road (D.T Road), Askarabad, Doublemooring, Chattogram-4100",Md. Abser Hossain,Managing Director,Member,Doublemooring
10213,Design Apparels (Pvt.) Ltd.,Bayazid Bostami Police Station,Chattogram,"Plot# B-4, 2nd Floor, Block-B, Sholashahar, Nasirabad I/A (BSCIC), Bayazid Bostami, Chattogram-4209.",Md. Elias Chowdhury,Managing Director,Member,Bayazid Bostami
10214,Organic Jeans Ltd.,Pahartali Police Station,Chattogram,"A/1&2, 1st Floor, Block-B, BSCIC  I/A, Sagarika Road, Sagarika, Pahartali,  Chattogram-4219.",Md. Sohel Sadat,Chairman,Member,Pahartali
10215,Arefin Textile Mills Ltd.,Patiya Police Station,Chattogram,"20-24, BSCIC I/A, Patiya, Chattogram-4370",Md. Saifuddin Shaheen,Managing Director,Member,Patiya
10217,Zakmars Fashion Ltd.,Bayazid Bostami Police Station,Chattogram,"Plot # A-4, Block # B, Bscic I/A, Nasirabad,  Bayazid Bostami, Chattogram-4209.",Khairul Islam,General Manager,Member,Bayazid Bostami
10218,Crystal Wash Ltd.,Bandar Police Station,Chattogram,"1107, B Nag Lane, Mooring Road (Stand Road), Goshaildanga, Bandar, Chattogram-4100",Shimul Sen Gupta,Managing Director,Member,Bandar
10220,Kith Fashion Ltd.,Chandgaon Police Station,Chattogram,"Plot- 8(P), F.I.D.C Road, Kalurghat Heavy I/A, Chattogram- 4208",Md. Syed Noor Talukder,Assistant General Manager ( Admin & HR),Member,Chandgaon
10221,Sun Fashion Wear Ltd.,Patiya Police Station,Chattogram,"Allai, Amjurhat, Patiya Powrashava, Chattogram-4370",Fahad Karim,Managing Director,Member,Patiya
10222,DPT Fashion Ltd.,Bandar Police Station,Chattogram,"1956/A, Hossain Complex (3rd Floor), South Halishahar, Airport Road,  Bandar Chattogram.",Dilip Saha,Managing Director,Member,Bandar
10223,JP Sweaters Ltd.,Doublemooring Police Station,Chattogram,"1154, H M Rahman Plaza (3rd floor), West Dhanialapara, Double  Mooring, Chattogram-4100",Shyamal Paul,Director,Member,Doublemooring
10225,Desh Garments Ltd.,Chandgaon Police Station,Chattogram,"Plot# A-53, F.I.D.C Road, Kalurghat Heavy I/A, Chandgaon, Chattogram-4212",Vidiya Amrit Khan,Deputy Managing Director,Member,Chandgaon
10226,Smart Jeans Ltd.,Chandgaon Police Station,Chattogram,"Plot# 9,10, F.I.D.C Road, Kalurghat Heavy I/A, Chandgaon, Chattogram-4208",Azizur Rahman,Director,Member,Chandgaon
10228,Farzana Fashions world Ltd,Doublemooring Police Station,Chattogram,"Khaja Tower, 2692, Askarabad, D.T Road, Doublemooring, 
Chattogram-4100",Mr. Rajib Das,Executive HR,Member,Doublemooring
10229,Abalone Fashion Ltd.,Boalkhali Police Station,Chattogram,"Arakan Road, Badamtol, Purbo Kalurghat, Boalkhali, Chattogram-4366",A.K.M Alamgir,Managing Director,Member,Boalkhali
10231,Farmin Fashion Design Ltd.,Bayazid Bostami Police Station,Chattogram,"154,Kamrabad,Aturar Depot, Amin Jute Mills,
Chattogram -4211",Md.Ferdous,Managing Director,Member,Bayazid Bostami
10232,Sonnet Textile Industries Ltd.,Bandar Police Station,Chattogram,"Mazid Tower, 807/859, Barik Mia High School Lane, Gosaildanga, Bandar, Chattogram.",Gazi Md. Shahidullah,Director,Member,Bandar
10233,Unity Industrial (BD) Ltd.,Pahartali Police Station,Chattogram,"68/Y, 3rd Floor, Block B, Alonkar, Sagarika Road, Pahartali, Chattogram-4202.",Ashoke Gupta,Managing Director,Member,Pahartali
10234,Frank Apparel Ltd.,Khulshi Police Station,Chattogram,"Plot #280/D, Floor #3, Frank Complex, Nasirabad I/A, Bayazid Bostami Road, Khulshi, Chattogram-4209.",Ratan Kumar Dhar,Deputy Executive Director,Member,Khulshi
10236,Men's Fashion Ltd.,Chandgaon Police Station,Chattogram,"49, North Portion (NP), 1to3, 5 to 6 Floor, Kalurghat Heavy I/A, Chattogram-4208",Anup Baran Das,Executive Director,Member,Chandgaon
